total_index,repo_id,repo_name,owner_id,owner_type,full_name,create_date,update_date,topics,language,contributors,contributor_counts,stargazer_counts,forker_counts,keyword,readme_url,read_length,is_it_forked_repo,open_issues,original_repo,contents
0,443633773,Artificial-intelligence,96850945,user,BlueHackHat/Artificial-intelligence,2022-01-01 22:14:55,2022-01-01 22:24:50,,Python,96850945,1,0,0,artificial-intelligence,https://github.com/BlueHackHat/Artificial-intelligence,144.0,False,0,,https://api.github.com/repos/BlueHackHat/Artificial-intelligence/contents/{+path}
1,443483329,artificial,96477177,user,githubmathushiva/artificial,2022-01-01 06:20:02,2022-01-01 06:25:03,,Java,67744#1045063#49108#2737102#9523#19728#237462#209336#23651#138698#65614#541536#1395659#3578921#1327662#573017#689138#1005544#592708#54155#9469110#2319838#36284#125281#214207#17732072#1191797#2684685#12100822#21371686#47606527#64264#22860528#39495#91742#42484#463156#513280#4235110#49699333#20991322#70071#1142788#4953590#6214865#1537384#7242568#30008376#914682#514737#132158#510223#99954#1280725#4712580#283980#964823#1214075#633348#48998317#3650136#6781002#20114#13838924#142304#99342#2130186#254697#4367212#6185911#909773#540893#815787#191450#10269942#1561982#1595156#1510709#53355975#8988563#4151857#53957498#4160180#13249663#174978#11896137#7979468#3192167#9541175#1249546#2049860#976007#10616227#30938#1269520#711349#277561#6705942#5114450#13357965#5429258#3100576#4106907#145925#72922431#4551914#4006686#4089452#51184065#5196352#241394#6946919#1059119#150992,114,0,0,artificial-intelligence,https://github.com/githubmathushiva/artificial,5022.0,False,2,,https://api.github.com/repos/githubmathushiva/artificial/contents/{+path}
2,443486893,Artificial-Intelligence-ai,84713281,user,SUsify/Artificial-Intelligence-ai,2022-01-01 06:48:05,2022-01-07 12:47:41,,HTML,84713281,1,0,0,artificial-intelligence,https://github.com/SUsify/Artificial-Intelligence-ai,,False,0,,https://api.github.com/repos/SUsify/Artificial-Intelligence-ai/contents/{+path}
3,443607728,Artificial-Intelligence-Machiene-Learning,67320006,user,AahanaGambhir/Artificial-Intelligence-Machiene-Learning,2022-01-01 19:20:08,2022-01-02 07:18:19,,HTML,67320006,1,0,0,artificial-intelligence,https://github.com/AahanaGambhir/Artificial-Intelligence-Machiene-Learning,44.0,False,0,,https://api.github.com/repos/AahanaGambhir/Artificial-Intelligence-Machiene-Learning/contents/{+path}
4,443595001,CS485-Artificial-Intelligence,61031657,user,arfbacem/CS485-Artificial-Intelligence,2022-01-01 18:03:54,2022-01-01 18:12:46,,Jupyter Notebook,61031657,1,0,0,artificial-intelligence,https://github.com/arfbacem/CS485-Artificial-Intelligence,,False,0,,https://api.github.com/repos/arfbacem/CS485-Artificial-Intelligence/contents/{+path}
5,443544411,COMP450-Artificial-Intelligence-Course,47792257,user,ardaozdemir/COMP450-Artificial-Intelligence-Course,2022-01-01 13:27:54,2022-01-19 21:30:36,,Jupyter Notebook,47792257,1,0,0,artificial-intelligence,https://github.com/ardaozdemir/COMP450-Artificial-Intelligence-Course,229.0,False,0,,https://api.github.com/repos/ardaozdemir/COMP450-Artificial-Intelligence-Course/contents/{+path}
6,443560732,google_stock_price_prediction_using_RNN,89132160,user,Mirza-Samad-Ahmed-Baig/google_stock_price_prediction_using_RNN,2022-01-01 14:58:31,2022-01-01 15:06:31,,Jupyter Notebook,89132160,1,0,0,artificial-intelligence,https://github.com/Mirza-Samad-Ahmed-Baig/google_stock_price_prediction_using_RNN,301.0,False,0,,https://api.github.com/repos/Mirza-Samad-Ahmed-Baig/google_stock_price_prediction_using_RNN/contents/{+path}
7,443565097,Papaya-Classification,33780311,user,BlackCerulean/Papaya-Classification,2022-01-01 15:21:38,2022-01-02 08:43:13,,Jupyter Notebook,33780311,1,0,0,artificial-intelligence,https://github.com/BlackCerulean/Papaya-Classification,455.0,False,0,,https://api.github.com/repos/BlackCerulean/Papaya-Classification/contents/{+path}
8,443633218,dog,5390878,user,suolenkainen/dog,2022-01-01 22:10:36,2022-01-08 16:22:06,,Python,5390878,1,0,0,artificial-intelligence,https://github.com/suolenkainen/dog,81.0,False,0,,https://api.github.com/repos/suolenkainen/dog/contents/{+path}
9,443630208,BetterThanQuickDraw,36338282,user,Yousef0M/BetterThanQuickDraw,2022-01-01 21:50:03,2022-04-07 16:39:58,tensorflow#machine-learning#artificial-intelligence#deep-learning#neural-network#drawing#draw#prediction,JavaScript,36338282,1,0,0,artificial-intelligence,https://github.com/Yousef0M/BetterThanQuickDraw,904.0,False,0,,https://api.github.com/repos/Yousef0M/BetterThanQuickDraw/contents/{+path}
10,443635773,ValsSnakeAI,40548251,user,hamletmillqvist/ValsSnakeAI,2022-01-01 22:29:59,2022-01-04 08:46:41,artificial-intelligence#game-ai,C++,40548251,1,0,0,artificial-intelligence,https://github.com/hamletmillqvist/ValsSnakeAI,13.0,False,0,,https://api.github.com/repos/hamletmillqvist/ValsSnakeAI/contents/{+path}
11,443545183,Sentiment-Analysis,82231238,user,KavehKadkhoda/Sentiment-Analysis,2022-01-01 13:32:08,2022-01-30 08:01:58,natural-language-processing#sentiment-analysis#machine-learning#twitter#visualization#artificial-intelligence,Jupyter Notebook,82231238,1,0,0,artificial-intelligence,https://github.com/KavehKadkhoda/Sentiment-Analysis,269.0,False,0,,https://api.github.com/repos/KavehKadkhoda/Sentiment-Analysis/contents/{+path}
